title_year,title,year,description,language,genres,stars,formatted_length,ratings,votes
Good Will Hunting (1997),Good Will Hunting,1997,,,Drama,,126,8.1,180850
Star Trek (2009),Star Trek,2009,,,"Action , Adventure , Sci-Fi",,127,8.1,167917
Ratatouille (2007),Ratatouille,2007,,,"Animation , Comedy , Family , Fantasy",,111,8.1,163982
The Princess Bride (1987),The Princess Bride,1987,,,"Adventure , Comedy , Family , Fantasy , Romance",,98,8.1,137798
In Bruges (2008),In Bruges,2008,,,"Crime , Drama , Thriller",,107,8.1,122870
Rocky (1976),Rocky,1976,,,"Drama , Romance , Sport",,119,8.1,120811
The Social Network (2010),The Social Network,2010,,,"Biography , Drama",,120,8.1,136871
The Exorcist (1973),The Exorcist,1973,,,"Horror , Mystery , Thriller",,122,8.1,124786
The Wrestler (2008),The Wrestler,2008,,,"Drama , Romance , Sport",,109,8.1,119191
Let the Right One In (2008),Let the Right One In,2008,,,"Drama , Fantasy , Romance",,115,8.1,77163
Dog Day Afternoon (1975),Dog Day Afternoon,1975,,,"Crime , Drama",,125,8.1,70482
Gandhi (1982),Gandhi,1982,,,"Biography , Drama , History",,191,8.1,60375
Rosemary's Baby (1968),Rosemary's Baby,1968,,,"Drama , Horror , Mystery",,136,8.1,61676
Howl's Moving Castle (2004),Howl's Moving Castle,2004,,,"Animation , Action , Adventure , Fantasy , Romance",,119,8.1,57334
Before Sunset (2004),Before Sunset,2004,,,"Drama , Romance",,80,8.1,52022
Before Sunrise (1995),Before Sunrise,1995,,,"Drama , Romance",,105,8.1,46877
Manhattan (1979),Manhattan,1979,,,"Comedy , Drama , Romance",,96,8.1,44800
Barry Lyndon (1975),Barry Lyndon,1975,,,"Drama , Romance , War",,184,8.1,45618
Patton (1970),Patton,1970,,,"Biography , Drama , War",,172,8.1,44788
Infernal Affairs (2002),Infernal Affairs,2002,,,"Crime , Mystery , Thriller",,101,8.1,41297
Talk to Her (2002),Talk to Her,2002,,,"Comedy , Drama",,112,8.1,40075
A Streetcar Named Desire (1951),A Streetcar Named Desire,1951,,,"Drama , Romance",,122,8.1,39076
The Diving Bell and the Butterfly (2007),The Diving Bell and the Butterfly,2007,,,"Biography , Drama",,112,8.1,38666
Roman Holiday (1953),Roman Holiday,1953,,,"Comedy , Drama , Romance",,118,8.1,36760
Dial M for Murder (1954),Dial M for Murder,1954,,,"Crime , Mystery , Thriller",,105,8.1,36019
The Wild Bunch (1969),The Wild Bunch,1969,,,"Action , Western",,134,8.1,35575
The Searchers (1956),The Searchers,1956,,,"Adventure , Drama , Western",,119,8.1,32502
La Haine (1995),La Haine,1995,,,Drama,,98,8.1,32124
In the Name of the Father (1993),In the Name of the Father,1993,,,"Biography , Drama",,133,8.1,31350
The Celebration (1998),The Celebration,1998,,,Drama,,105,8.1,30831
In the Mood for Love (2000),In the Mood for Love,2000,,,"Drama , Romance",,98,8.1,29482
Three Colors: Red (1994),Three Colors: Red,1994,,,"Drama , Mystery , Romance",,99,8.1,28076
The Sea Inside (2004),The Sea Inside,2004,,,"Biography , Drama",,125,8.1,27947
Harvey (1950),Harvey,1950,,,"Comedy , Drama , Fantasy",,104,8.1,26683
Castle in the Sky (1986),Castle in the Sky,1986,,,"Animation , Action , Adventure , Family , Fantasy , Romance",,124,8.1,26201
The Man Who Shot Liberty Valance (1962),The Man Who Shot Liberty Valance,1962,,,"Drama , Romance , Western",,123,8.1,26083
Ip Man (2008),Ip Man,2008,,,"Action , Biography , Drama , History",,106,8.1,25144
Nausica\xe4 of the Valley of the Wind (1984),Nausica\xe4 of the Valley of the Wind,1984,,,"Animation , Action , Adventure , Fantasy , Sci-Fi",,117,8.1,25683
Stalker (1979),Stalker,1979,,,"Adventure , Drama , Fantasy , Mystery , Sci-Fi",,163,8.1,24563
"Spring, Summer, Fall, Winter... and Spring (2003)","Spring, Summer, Fall, Winter... and Spring",2003,,,Drama,,103,8.1,22916
La Dolce Vita (1960),La Dolce Vita,1960,,,"Comedy , Drama",,174,8.1,21467
Rio Bravo (1959),Rio Bravo,1959,,,"Western , Romance , Drama",,141,8.1,21123
Sleuth (1972),Sleuth,1972,,,"Mystery , Thriller",,138,8.1,20601
Aguirre: The Wrath of God (1972),Aguirre: The Wrath of God,1972,,,"Adventure , Biography , Drama , History",,93,8.1,19714
Anatomy of a Murder (1959),Anatomy of a Murder,1959,,,"Crime , Drama , Mystery",,160,8.1,18981
Tae Guk Gi: The Brotherhood of War (2004),Tae Guk Gi: The Brotherhood of War,2004,,,"Action , Drama , War",,140,8.1,18041
Underground (1995),Underground,1995,,,"Comedy , Drama , War",,170,8.1,17508
The Last Picture Show (1971),The Last Picture Show,1971,,,Drama,,118,8.1,17037
Memories of Murder (2003),Memories of Murder,2003,,,"Crime , Drama , Mystery , Thriller",,130,8.1,14684
East of Eden (1955),East of Eden,1955,,,Drama,,115,8.1,14230
Lagaan: Once Upon a Time in India (2001),Lagaan: Once Upon a Time in India,2001,,,"Drama , Musical , Romance , Sport",,224,8.1,14190
The Lion in Winter (1968),The Lion in Winter,1968,,,"Drama , History",,134,8.1,13896
Throne of Blood (1957),Throne of Blood,1957,,,Drama,,110,8.1,13559
The Return (2003),The Return,2003,,,Drama,,105,8.1,13091
Departures (2008),Departures,2008,,,"Drama , Music",,130,8.1,12634
The Hidden Fortress (1958),The Hidden Fortress,1958,,,"Action , Adventure",,139,8.1,12535
Jean de Florette (1986),Jean de Florette,1986,,,Drama,,120,8.1,12047
Inherit the Wind (1960),Inherit the Wind,1960,,,"Drama , History , Romance",,128,8.1,11887
Au Revoir Les Enfants (1987),Au Revoir Les Enfants,1987,,,"Drama , War",,104,8.1,11385
In Cold Blood (1967),In Cold Blood,1967,,,"Crime , Drama , History",,134,8.1,11289
Paper Moon (1973),Paper Moon,1973,,,"Comedy , Crime , Drama",,102,8.1,10787
Manon of the Spring (1986),Manon of the Spring,1986,,,"Drama , Romance",,113,8.1,9966
The Twilight Samurai (2002),The Twilight Samurai,2002,,,"Drama , Romance",,129,8.1,9962
Sanjuro (1962),Sanjuro,1962,,,"Action , Drama , Thriller",,96,8.1,9739
Z (1969),Z,1969,,,"Crime , Drama , History , Mystery , Thriller",,127,8.1,9230
The Virgin Spring (1960),The Virgin Spring,1960,,,"Crime , Drama",,89,8.1,8819
Midnight in Paris (2011),Midnight in Paris,2011,,,"Comedy , Fantasy , Romance",,94,8.1,8852
A Christmas Carol (1951),A Christmas Carol,1951,,,"Fantasy , Drama",,86,8.1,8616
The Exterminating Angel (1962),The Exterminating Angel,1962,,,"Comedy , Drama , Fantasy , Mystery",,95,8.1,8521
The Message (1977),The Message,1977,,,"Adventure , Biography , Drama , History , War",,177,8.1,8380
Children of Heaven (1997),Children of Heaven,1997,,,"Adventure , Comedy , Drama , Family",,89,8.1,8367
Time of the Gypsies (1988),Time of the Gypsies,1988,,,"Comedy , Crime , Drama , Fantasy",,0,8.1,8172
The Conformist (1970),The Conformist,1970,,,Drama,,107,8.1,7133
Ivan's Childhood (1962),Ivan's Childhood,1962,,,"Drama , War",,95,8.1,6730
To Live (1994),To Live,1994,,,"Drama , War",,125,8.1,6652
The Miracle Worker (1962),The Miracle Worker,1962,,,"Biography , Drama",,106,8.1,6504
Autumn Sonata (1978),Autumn Sonata,1978,,,"Drama , Music",,99,8.1,6120
Le Cercle Rouge (1970),Le Cercle Rouge,1970,,,"Crime , Drama , Thriller",,140,8.1,6092
Red Beard (1965),Red Beard,1965,,,Drama,,185,8.1,5747
Pather Panchali (1955),Pather Panchali,1955,,,Drama,,119,8.1,5645
Munnabhai M.B.B.S. (2003),Munnabhai M.B.B.S.,2003,,,"Comedy , Crime",,0,8.1,5402
Ali: Fear Eats the Soul (1974),Ali: Fear Eats the Soul,1974,,,"Drama , Romance",,93,8.1,5296
A Face in the Crowd (1957),A Face in the Crowd,1957,,,Drama,,125,8.1,5248
The Class (2007),The Class,2007,,,Drama,,99,8.1,5099
A Man Escaped (1956),A Man Escaped,1956,,,"Drama , Thriller , War",,99,8.1,4915
The Cranes are Flying (1957),The Cranes are Flying,1957,,,"Drama , Romance , War",,0,8.1,4591
Ballad of a Soldier (1959),Ballad of a Soldier,1959,,,"Drama , Romance , War",,88,8.1,3769
The Shop on Main Street (1965),The Shop on Main Street,1965,,,"Drama , War",,128,8.1,3714
The Diamond Arm (1969),The Diamond Arm,1969,,,"Action , Adventure , Comedy , Crime , Family , Thriller",,100,8.1,3709
"Montevideo, God Bless You! (2010)","Montevideo, God Bless You!",2010,,,"Adventure , Comedy , Drama , History , Romance , Sport",,140,8.1,2863
Jo Jeeta Wohi Sikandar (1992),Jo Jeeta Wohi Sikandar,1992,,,"Comedy , Drama , Romance",,174,8.1,2742
Day of the Wacko (2002),Day of the Wacko,2002,,,"Comedy , Drama",,93,8.1,2651
Seance on a Wet Afternoon (1964),Seance on a Wet Afternoon,1964,,,"Crime , Drama , Thriller",,121,8.1,2650
Gentlemen of Fortune (1971),Gentlemen of Fortune,1971,,,"Comedy , Crime , Drama , Mystery",,88,8.1,2575
Office Romance (1977),Office Romance,1977,,,"Comedy , Romance",,159,8.1,2231
Barefoot Gen (1983),Barefoot Gen,1983,,,"Animation , Drama , War",,83,8.1,2171
Teddy Bear (1981),Teddy Bear,1981,,,Comedy,,111,8.1,2190
The War Game (1965),The War Game,1965,,,"Drama , Sci-Fi , War",,48,8.1,2087
Early Summer (1951),Early Summer,1951,,,Drama,,124,8.1,2008
The Burmese Harp (1956),The Burmese Harp,1956,,,"Drama , Music , War",,116,8.1,2005
A Dog's Will (2000),A Dog's Will,2000,,,"Adventure , Comedy , Drama , Romance",,104,8.1,1992
The King of the Street Cleaners (1977),The King of the Street Cleaners,1977,,,Comedy,,0,8.1,1951
The Browning Version (1951),The Browning Version,1951,,,Drama,,90,8.1,1836
We Are Not Angels (1992),We Are Not Angels,1992,,,Comedy,,98,8.1,1833
Love is God (2003),Love is God,2003,,,"Adventure , Comedy , Drama",,160,8.1,1790
Fires on the Plain (1959),Fires on the Plain,1959,,,"Drama , War",,108,8.1,1727
Waiting for the Hearse (1985),Waiting for the Hearse,1985,,,Comedy,,87,8.1,1665
The Life of Oharu (1952),The Life of Oharu,1952,,,Drama,,148,8.1,1615
An Autumn Afternoon (1962),An Autumn Afternoon,1962,,,Drama,,112,8.1,1613
The King and the Mockingbird (1980),The King and the Mockingbird,1980,,,"Animation , Family , Fantasy , Romance",,83,8.1,1585
Il Posto (1961),Il Posto,1961,,,"Comedy , Drama",,93,8.1,1379
Pirates of the Caribbean: The Curse of the Black Pearl (2003),Pirates of the Caribbean: The Curse of the Black Pearl,2003,,,"Action , Adventure , Fantasy",,143,8,282758
Casino Royale (2006),Casino Royale,2006,,,"Action , Crime , Thriller",,144,8,194834
Kill Bill: Vol. 2 (2004),Kill Bill: Vol. 2,2004,,,"Crime , Drama , Thriller",,136,8,216272
Crash (2004),Crash,2004,,,Drama,,112,8,194749
The Truman Show (1998),The Truman Show,1998,,,"Comedy , Drama , Sci-Fi",,103,8,193505
Children of Men (2006),Children of Men,2006,,,"Adventure , Drama , Sci-Fi , Thriller",,109,8,185689
Shutter Island (2010),Shutter Island,2010,,,"Drama , Mystery , Thriller",,138,8,171493
The Curious Case of Benjamin Button (2008),The Curious Case of Benjamin Button,2008,,,"Drama , Fantasy , Mystery , Romance",,166,8,165459
A Beautiful Mind (2001),A Beautiful Mind,2001,,,"Biography , Drama",,135,8,154017
Mystic River (2003),Mystic River,2003,,,"Crime , Drama , Mystery , Thriller",,138,8,141923
Little Miss Sunshine (2006),Little Miss Sunshine,2006,,,"Adventure , Comedy , Drama",,101,8,168936
Big Fish (2003),Big Fish,2003,,,"Adventure , Drama , Fantasy",,125,8,166081
Shaun of the Dead (2004),Shaun of the Dead,2004,,,"Comedy , Horror",,99,8,156939
"Monsters, Inc. (2001)","Monsters, Inc.",2001,,,"Animation , Adventure , Comedy , Family , Fantasy",,92,8,147321
Kick-Ass (2010),Kick-Ass,2010,,,"Action , Adventure , Comedy",,117,8,146535
Blood Diamond (2006),Blood Diamond,2006,,,"Adventure , Drama , Thriller",,143,8,143558
Toy Story 2 (1999),Toy Story 2,1999,,,"Animation , Adventure , Comedy , Family , Fantasy",,92,8,141529
Magnolia (1999),Magnolia,1999,,,Drama,,188,8,135347
Rain Man (1988),Rain Man,1988,,,Drama,,133,8,127586
Edward Scissorhands (1990),Edward Scissorhands,1990,,,"Drama , Fantasy , Romance",,105,8,122596
"Crouching Tiger, Hidden Dragon (2000)","Crouching Tiger, Hidden Dragon",2000,,,"Action , Adventure , Drama , Fantasy , Romance",,120,8,119969
Mulholland Dr. (2001),Mulholland Dr.,2001,,,"Drama , Mystery , Thriller",,147,8,117851
The Notebook (2004),The Notebook,2004,,,"Drama , Romance",,123,8,115207
Almost Famous (2000),Almost Famous,2000,,,"Drama , Music",,122,8,104403
(500) Days of Summer (2009),(500) Days of Summer,2009,,,"Comedy , Drama , Romance",,95,8,103585
The Untouchables (1987),The Untouchables,1987,,,"Biography , Crime , Drama , History , Thriller",,119,8,97015
The Nightmare Before Christmas (1993),The Nightmare Before Christmas,1993,,,"Animation , Family , Fantasy , Musical",,76,8,92077
Run Lola Run (1998),Run Lola Run,1998,,,"Crime , Thriller",,81,8,86371
Brazil (1985),Brazil,1985,,,"Drama , Fantasy , Sci-Fi",,132,8,83381
Beauty and the Beast (1991),Beauty and the Beast,1991,,,"Animation , Family , Fantasy , Musical , Romance",,84,8,87183
Ed Wood (1994),Ed Wood,1994,,,"Biography , Comedy , Drama",,127,8,84382
Hero (2002),Hero,2002,,,"Action , Adventure",,99,8,82735
Changeling (2008),Changeling,2008,,,"Drama , Mystery , Thriller",,141,8,79907
Moon (2009),Moon,2009,,,"Drama , Sci-Fi",,97,8,79187
Dances with Wolves (1990),Dances with Wolves,1990,,,"Adventure , Drama , Western",,181,8,81522
The Insider (1999),The Insider,1999,,,"Biography , Drama , Thriller",,157,8,75718
X-Men: First Class (2011),X-Men: First Class,2011,,,"Action , Adventure , Drama , Sci-Fi",,132,8,72810
Cinderella Man (2005),Cinderella Man,2005,,,"Biography , Drama , Romance , Sport",,144,8,71422
Letters from Iwo Jima (2006),Letters from Iwo Jima,2006,,,"Drama , History , War",,141,8,68611
The Fighter (2010),The Fighter,2010,,,"Biography , Drama , Sport",,116,8,66882
Planet of the Apes (1968),Planet of the Apes,1968,,,"Adventure , Drama , Mystery , Sci-Fi",,112,8,65801
JFK (1991),JFK,1991,,,"Biography , Drama , History , Mystery , Thriller",,189,8,64837
Glory (1989),Glory,1989,,,"Drama , History , War",,122,8,59909
Young Frankenstein (1974),Young Frankenstein,1974,,,"Comedy , Sci-Fi",,106,8,61399
A Christmas Story (1983),A Christmas Story,1983,,,"Comedy , Family",,94,8,57166
This Is Spinal Tap (1984),This Is Spinal Tap,1984,,,"Comedy , Music",,82,8,55763
Spartacus (1960),Spartacus,1960,,,"Action , Adventure , Biography , Drama , History",,0,8,55504
Dogville (2003),Dogville,2003,,,"Drama , Mystery , Thriller",,178,8,52356
Miller's Crossing (1990),Miller's Crossing,1990,,,"Crime , Drama , Thriller",,115,8,48919
Bonnie and Clyde (1967),Bonnie and Clyde,1967,,,"Biography , Crime , Drama",,112,8,46251
Dawn of the Dead (1978),Dawn of the Dead,1978,,,"Action , Horror , Thriller",,126,8,47685
A Fistful of Dollars (1964),A Fistful of Dollars,1964,,,"Action , Western",,99,8,46236
Sling Blade (1996),Sling Blade,1996,,,Drama,,135,8,44316
Night of the Living Dead (1968),Night of the Living Dead,1968,,,"Horror , Mystery",,96,8,44215
The Man from Earth (2007),The Man from Earth,2007,,,"Drama , Sci-Fi",,87,8,40513
Once (2006),Once,2006,,,"Drama , Music , Romance",,85,8,39264
The Straight Story (1999),The Straight Story,1999,,,"Adventure , Biography , Drama",,112,8,38693
Midnight Cowboy (1969),Midnight Cowboy,1969,,,Drama,,113,8,37515
The Day the Earth Stood Still (1951),The Day the Earth Stood Still,1951,,,"Drama , Sci-Fi , Thriller",,92,8,37370
The Conversation (1974),The Conversation,1974,,,"Drama , Mystery , Thriller",,113,8,36304
The African Queen (1951),The African Queen,1951,,,"Adventure , Drama , Romance , War",,105,8,36448
All the President's Men (1976),All the President's Men,1976,,,"Drama , History , Thriller",,138,8,35333
Papillon (1973),Papillon,1973,,,"Biography , Crime , Drama",,151,8,32862
Persepolis (2007),Persepolis,2007,,,"Animation , Biography , Drama , War",,96,8,30190
Harold and Maude (1971),Harold and Maude,1971,,,"Comedy , Romance",,91,8,30633
Doctor Zhivago (1965),Doctor Zhivago,1965,,,"Drama , Romance , War",,197,8,30009
Being There (1979),Being There,1979,,,"Drama , Comedy",,130,8,27158
Elite Squad (2007),Elite Squad,2007,,,"Action , Crime , Drama , Thriller",,115,8,25553
In the Heat of the Night (1967),In the Heat of the Night,1967,,,"Crime , Drama , Mystery , Thriller",,109,8,24578
Charade (1963),Charade,1963,,,"Comedy , Mystery , Romance , Thriller",,113,8,24756
The Killing Fields (1984),The Killing Fields,1984,,,"Drama , History , War",,141,8,23801
Breathless (1960),Breathless,1960,,,"Crime , Drama , Romance",,90,8,23952
A Prophet (2009),A Prophet,2009,,,"Crime , Drama",,155,8,23807
Hannah and Her Sisters (1986),Hannah and Her Sisters,1986,,,"Comedy , Drama , Romance",,103,8,23222
The Remains of the Day (1993),The Remains of the Day,1993,,,"Drama , Romance",,134,8,23606
The Killer (1989),The Killer,1989,,,"Action , Crime , Drama , Thriller",,111,8,22248
Solaris (1972),Solaris,1972,,,"Adventure , Drama , Mystery , Romance , Sci-Fi",,167,8,22513
Crimes and Misdemeanors (1989),Crimes and Misdemeanors,1989,,,"Comedy , Drama",,104,8,21499
No Man's Land (2001),No Man's Land,2001,,,"Comedy , Drama , War",,98,8,21369
Waltz with Bashir (2008),Waltz with Bashir,2008,,,"Animation , Biography , Drama , War",,90,8,21816
Wings of Desire (1987),Wings of Desire,1987,,,"Fantasy , Drama , Romance",,128,8,21782
The Man Who Would Be King (1975),The Man Who Would Be King,1975,,,"Action , Adventure",,129,8,20109
Hachi: A Dog's Tale (2009),Hachi: A Dog's Tale,2009,,,"Drama , Family",,93,8,20034
Hard Boiled (1992),Hard Boiled,1992,,,"Action , Crime , Drama , Thriller",,128,8,20119
Head-On (2004),Head-On,2004,,,"Drama , Romance",,121,8,19284
Chungking Express (1994),Chungking Express,1994,,,"Comedy , Drama , Mystery , Romance",,98,8,19093
"Black Cat, White Cat (1998)","Black Cat, White Cat",1998,,,"Comedy , Music , Romance",,127,8,19114
"Paris, Texas (1984)","Paris, Texas",1984,,,Drama,,147,8,18570
Central Station (1998),Central Station,1998,,,Drama,,113,8,18265
3-Iron (2004),3-Iron,2004,,,"Crime , Drama , Romance",,88,8,18074
Invasion of the Body Snatchers (1956),Invasion of the Body Snatchers,1956,,,"Horror , Sci-Fi",,80,8,16251
Cat on a Hot Tin Roof (1958),Cat on a Hot Tin Roof,1958,,,Drama,,108,8,16492
Secrets & Lies (1996),Secrets & Lies,1996,,,"Comedy , Drama",,142,8,15435
The Quiet Man (1952),The Quiet Man,1952,,,"Action , Comedy , Drama , Romance",,129,8,15342
Days of Heaven (1978),Days of Heaven,1978,,,"Drama , Romance",,94,8,15162
C.R.A.Z.Y. (2005),C.R.A.Z.Y.,2005,,,Drama,,0,8,14546
What Ever Happened to Baby Jane? (1962),What Ever Happened to Baby Jane?,1962,,,"Drama , Horror , Thriller",,134,8,14244
A Man for All Seasons (1966),A Man for All Seasons,1966,,,"Biography , Drama",,120,8,13473
The Discreet Charm of the Bourgeoisie (1972),The Discreet Charm of the Bourgeoisie,1972,,,"Comedy , Drama , Fantasy",,102,8,12210
The Caine Mutiny (1954),The Caine Mutiny,1954,,,"Drama , Romance , War",,124,8,11202
Fitzcarraldo (1982),Fitzcarraldo,1982,,,"Adventure , Drama",,158,8,10919
The Asphalt Jungle (1950),The Asphalt Jungle,1950,,,"Crime , Film-Noir , Drama",,112,8,9451
Cries and Whispers (1972),Cries and Whispers,1972,,,"Drama , Romance",,91,8,9439
Whisper of the Heart (1995),Whisper of the Heart,1995,,,"Animation , Drama , Family , Music , Romance",,111,8,9117
Fail-Safe (1964),Fail-Safe,1964,,,"Adventure , Drama , Thriller",,112,8,8931
Nobody Knows (2004),Nobody Knows,2004,,,Drama,,141,8,8683
The Mirror (1975),The Mirror,1975,,,"Biography , Drama , History",,108,8,8358
Hud (1963),Hud,1963,,,Drama,,112,8,8239
Sholay (1975),Sholay,1975,,,"Action , Adventure , Comedy , Musical , Romance , Thriller",,188,8,8012
The Innocents (1961),The Innocents,1961,,,Horror,,100,8,8005
Hiroshima Mon Amour (1959),Hiroshima Mon Amour,1959,,,"Drama , Romance , War",,90,8,7833
The Leopard (1963),The Leopard,1963,,,"Drama , History , Romance , War",,187,8,7534
In a Lonely Place (1950),In a Lonely Place,1950,,,"Drama , Film-Noir , Mystery , Romance , Thriller",,94,8,7319
The Big Heat (1953),The Big Heat,1953,,,"Crime , Drama , Film-Noir , Mystery , Thriller",,89,8,7393
Day for Night (1973),Day for Night,1973,,,"Comedy , Drama , Romance",,115,8,6947
Neon Genesis Evangelion: The End of Evangelion (1997),Neon Genesis Evangelion: The End of Evangelion,1997,,,"Animation , Action , Drama , Fantasy , Sci-Fi",,87,8,6813
Black (2005),Black,2005,,,Drama,,122,8,6615
Bang Bang You're Dead (2002),Bang Bang You're Dead,2002,,,"Crime , Drama , Thriller",,87,8,6395
Pinchcliffe Grand Prix (1975),Pinchcliffe Grand Prix,1975,,,"Animation , Adventure , Comedy , Family , Sport",,88,8,6505
Breaker Morant (1980),Breaker Morant,1980,,,"Drama , History , War",,107,8,6423
Through a Glass Darkly (1961),Through a Glass Darkly,1961,,,Drama,,89,8,6397
Elevator to the Gallows (1958),Elevator to the Gallows,1958,,,"Crime , Drama , Thriller",,88,8,6120
A Night to Remember (1958),A Night to Remember,1958,,,"Action , Drama , History",,123,8,6105
Becket (1964),Becket,1964,,,"Biography , Drama , History",,148,8,5935
Before the Rain (1994),Before the Rain,1994,,,"Drama , War",,113,8,5887
A Woman Under the Influence (1974),A Woman Under the Influence,1974,,,"Drama , Romance",,155,8,5883
The Sacrifice (1986),The Sacrifice,1986,,,Drama,,142,8,5652
Vivre Sa Vie (1962),Vivre Sa Vie,1962,,,Drama,,80,8,5551
The Enigma of Kaspar Hauser (1974),The Enigma of Kaspar Hauser,1974,,,"Biography , Drama , History",,110,8,5418
5 Centimeters Per Second (2007),5 Centimeters Per Second,2007,,,"Animation , Drama , Romance",,0,8,5363
Simon (2004),Simon,2004,,,"Comedy , Drama",,102,8,5237
Onibaba (1964),Onibaba,1964,,,Horror,,103,8,4826
I Vitelloni (1953),I Vitelloni,1953,,,"Comedy , Drama",,107,8,4810
Nostalghia (1983),Nostalghia,1983,,,Drama,,125,8,4867
Kwaidan (1964),Kwaidan,1964,,,"Fantasy , Horror",,183,8,4839
The Spirit of the Beehive (1973),The Spirit of the Beehive,1973,,,Drama,,97,8,4793
Ordet (1955),Ordet,1955,,,Drama,,126,8,4758
Stroszek (1977),Stroszek,1977,,,Drama,,115,8,4459
The Winter War (1989),The Winter War,1989,,,"Drama , History , War",,195,8,4137
Forbidden Games (1952),Forbidden Games,1952,,,"Drama , War",,86,8,4103
Cat City (1986),Cat City,1986,,,"Animation , Adventure , Comedy",,96,8,4095
